"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"735","Meghmani Organics Ltd","MOL","P&F | F.A","-2.8%","82.31","5,40,778"
"539","SCODATUBES","SCODATUBES","P&F | F.A","-2.81%","169.44","1,89,298"
"61","OSWALPUMPS","OSWALPUMPS","P&F | F.A","-2.83%","811.35","4,64,129"
"559","Master Trust Ltd","MASTERTR","P&F | F.A","-2.83%","157","24,47,299"
"169","Pg Electroplast Limited","PGEL","P&F | F.A","-2.87%","541.25","43,63,843"
"431","Aegis Vopak Terminals Ltd","AEGISVOPAK","P&F | F.A","-2.87%","247.87","2,26,034"
"57","KSB Ltd","KSB","P&F | F.A","-2.88%","816.1","5,89,011"
"124","Stove Kraft Ltd","STOVEKRAFT","P&F | F.A","-2.93%","639.95","1,33,724"
"346","Prince Pipes & Fittings Ltd","PRINCEPIPE","P&F | F.A","-2.93%","324.8","95,948"
"634","Himatsingka Seide Limited","HIMATSEIDE","P&F | F.A","-2.93%","119.04","7,42,885"
"766","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","-2.94%","69.71","1,11,71,055"
"376","Sky Gold Ltd","SKYGOLD","P&F | F.A","-2.97%","295.75","6,46,572"
"407","Vrl Logistics Limited","VRLLOG","P&F | F.A","-2.99%","268.95","1,33,487"
"210","KPI Green Energy Ltd","KPIGREEN","P&F | F.A","-3%","483.35","5,14,756"
"365","Hindware Home Innovation Ltd","HINDWAREAP","P&F | F.A","-3%","308.95","2,58,589"
"807","Snowman Logistics Limited","SNOWMAN","P&F | F.A","-3%","50.77","2,27,548"
"200","Jsw Energy Limited","JSWENERGY","P&F | F.A","-3.01%","497.65","21,17,153"
"415","Bhagiradha Chemicals & Industries Ltd","BHAGCHEM","P&F | F.A","-3.01%","262.5","65,854"
"100","Itd Cementation India Limited","ITDCEM","P&F | F.A","-3.02%","703.5","3,72,999"
"128","Syngene International Limited","SYNGENE","P&F | F.A","-3.02%","629.2","11,91,796"
"108","Blue Jet Healthcare Ltd","BLUEJET","P&F | F.A","-3.03%","685.95","7,69,371"
"546","Mahindra EPC Irrigation Ltd","MAHEPC","P&F | F.A","-3.04%","164.74","1,22,400"
"307","Mishra Dhatu Nigam Ltd","MIDHANI","P&F | F.A","-3.06%","369.1","2,03,435"
"354","Jupiter Wagons Ltd","JWL","P&F | F.A","-3.06%","319.55","10,13,176"
